Song,Film,Year
Huzoor Is Kadar Bhi Na Itra Ke Chaliye,Masoom,1983.0
Hothon Pe Sachchai Rahti Hai,Jis Desh Men Ganga Behti Hai,1960.0
Har Ghadi Badal Rahi Hai Dhoop Zindagi,Kal Ho Naa Ho,2003.0
Hawaon Me Bahenge,Kalank,2019.0
Ichak Daana Beechak Daana,Shree 420,1955.0
Ik Cheez Maangte Hai,Babul Ki Galiyan,1972.0
Ik Din Hasaana Ik Din Rulaana,Benaam,1974.0
Ik Ladki Bheegi Bhaagi Si,Chalti Ka Naam Gaadi,1958.0
Ik Munda,Karan Arjun,1995.0
Ik Raasta Hai Zindagi,Kaala Patthar,1979.0
Ik To Mera Mastaana Shabaab,Gora Aur Kala,1972.0
Ik Zindagi,Angrezi Medium,2020.0
Iktara Bole Tun Tun,Yaadgaar,1970.0
Illegal Weapon 2.0,Streed Dancer 3D,2020.0
Inhi Logon Ne,Pakeezah,1972.0
Is Mod Se Jaate Hain,Aandhi,1975.0
Is Reshmi Paajeb Ki Jhankaar,Laila Majnu,1976.0
Ishq Bina,Taal,1999.0
Ishq Fitoori,Bhavai (2021),2021.0
Ishq Karo Dil Se,Koi Jaane Na,2021.0
Istaar Hai Tu,Toofaan,2021.0
Itna Main Chahoon Tujhe,Raaz,2002.0
Itna To Yaad Hai Mujhe,Mehboob Ki Mehndi,1971.0
Itâs the Time to Disco,Kal Ho Naa Ho,2003.0
Ishwar Satya Hai Satya Hi Shiv Hai,Satyam Shivam Sundaram,1978.0
Jhonka Hawa Ka,Hum Dil De Chuke Sanam,1999.0
Jeenhe Mera Dil Luteya (Remake),Jawaani Jaaneman,2020.0
Ja Ja Ja Ja Bewafa,Aar Paar,1954.0
Ja Re Ja O Harjaayi,Kalicharan,1976.0
Jaagega Insaan Zamaana Dekhega,Aadmi Aur Insaan,1969.0
JaagoJaago Bakre,Pushpa: The Rise,2021.0
Jaan-E-Bahaar Husn Tera,Pyar Kiya To Darna Kya,1963.0
Jaan-E-Jaan Dhoondta Phir Raha,Jawani Diwani,1972.0
Jaana Tha Hum Se Door Bahaane Bana Diye,Adalat,1958.0
Jaane De Ye Bhi Jaane De,Koi Jaane Na,2021.0
Jaane Kaise Kab Kahaan,Shakti,1982.0
Jaane Kya Pilaaya Tune,Jugnu,1973.0
Jaane Kyon Log Pyar Karte Hai,Dil Chahta Hai,2001.0
Jaane Kyoon Log Muhabbat,Mehboob Ki Mehndi,1971.0
Jaane Mujhe Kya Hua Re,Janwar Aur Aur Insaan,1972.0
Jaane Na Nazar Pahchaane Jigar,Aah,1953.0
Jaani O Jaani,Raja Jani,1972.0
Jaanoon Na,Bob Biswas,2021.0
Jaanu Meri Jaan,Shaan,1980.0
Jaata Kahan Hai Deewane,C.I.D.,1956.0
Jaati Hoon Main,Karan Arjun,1995.0
Jab Andhera Hota Hai,Raja Rani,1973.0
Jab Baghon Me Jugnu Chamke,Jugnu,1973.0
Jab Ishq Kahin Ho Jaata Hai,Arzoo,1965.0
Jab Jab Pyar Pe Pahra Hua Hai,Sadak,1991.0
Jab Jab Teri Soorat Dekhoon,Janbaaz,1986.0
Jab Pyar Kiya To Darna Kya,Mughal-E-Azam,1960.0
Jab Tak Hai Jaan Jaane Jahaan Main Nachungi,Sholay,1975.0
Jab Tak Rahe Tan Me Jiya,Samadhi,1972.0
Jageya Jageya Jageya Kade,Kaala Patthar,1979.0
Jahaan Main Jaati Hoon Wahin Chale Aate Ho,Chori Chori,1956.0
Jai Bolo Beimaan Ki,Be-Imaan,1972.0
Jai Hind Ki Senaa,Shershaah,2021.0
Jai Jai Shiv Shankar,Aap Ki Kasam,1974.0
Jai Jai Shivshankar,War,2019.0
Jaise Banjaare Ko Ghar,Ek Villain,2014.0
Jaise Karta Hai Ye Dil Dhak Dhak,Haathi Mere Saathi,1971.0
Jaise Radha Ne Maala Japi,Tere Mere Sapne,1971.0
Jalta Hai Jiya Mera Bheegi Bheegi Raton Me,Zakhmee,1975.0
Jalte Hain Jis Ke Liye,Sujata,1969.0
Janani,RRR,2022.0
Jann Gann Mann,Satyameva Jayate 2,2021.0
Jao Tum Chahe Jahaan,Narsimha,1991.0
Jaoon To Kahaan Jaoon,Anamika,1973.0
Jeet Hi Lenge Baazi Hum Tum,Shola Aur Shabnam,1961.0
Jeewan Ki Baghiya Mahkegi,Tere Mere Sapne,1971.0
Jeewan Se Bhari Teri Aankhen,Safar,1970.0
Jhalak Dikhla Ja,Aksar,2006.0
Jhatka Are Jhatke Pe Jhatka,Dosti Dushmani,1986.0
Jhilmil Sitaaron Ka Aangan Hoga,Jeevan Mrityu,1970.0
Jhoole Me Pawan Ke Aayi Bahaar,Baiju Bawra,1952.0
Jhoom Jhoom Ke Naacho Aaj,Andaz,1949.0
Jhooth Bole Kauva Kaate,Bobby,1973.0
Jhumka Gira Re,Mera Saaya,1956.0
Jidhar Dekhoon Teri Tasveer,Mahaan,1983.0
Jis Gali Me Tera Ghar Na Ho,Kati Patang,1971.0
Jis Ka Koyi Nahi Us Ka To,Laawaris,1981.0
Jis Ka Koi Nahi (Manna Dey),Laawaris,1981.0
Jis Ke Sapne Hame Roz Aate Rahe,Geet,1970.0
Jise Tu Kabool Kar Le,Devdas,1955.0
Jiya Bekaraar Hai Aayi Bahaar Hai,Barsaat,1949.0
Jiya Laage Na,Anand,1971.0
Jiya O Jiya O Kuchh Bol Do (Female),Jab Pyar Kisi Se Hota Hai,1961.0
Jiya O Jiya O Kuchh Bol Do,Jab Pyar Kisi Se Hota Hai,1961.0
Jo Bhi Kasmen Khayi Thi Hum Ne,Raaz,2002.0
Jo Khwabon Khayalon Me,Jannat: In Search of Heaven,2008.0
Jo Tum Aa Gaye Ho,Toofaan,2021.0
Jo Tum Ko Ho Pasand,Safar,1970.0
Jo Un Ki Tamanna Hai Barbaad Ho Ja,Intaqam,1969.0
Jo Waada Kiya Wo Nibhaana Padega,Taj Mahal,1963.0
Jogi Jee Dheere Dheere,Nadiya Ke Paar,1982.0
Joote De Do Paise Le Lo,Hum Aapke Hain Koun,1994.0
Jug Jug Jeeve,Shiddat,2021.0
Jyot Se Jyot Jagaate Chalo,Sant Gyaneshwar,1964.0
Jee Haan Main Hoon Khalnayak,Khal Nayak,1993.0
Jee Ni Karda,Sardar Ka Grandson,2021.0
Kaun Disa Me Le Ke Chala Re,Nadiya Ke Paar,1982.0
Kal Chaman Tha Aaj Ik Sehra Hua,Khandan,1965.0
Kaahe Apno Ke Kaam Nahi Aaye Tu,Raampur Ka Lakshman,1972.0
Kaahe Paise Pe Itna Guroor Kare Hai,Laawaris,1981.0
Kaal Ka Pahiya,Chanda Aur Bijli,1969.0
Kaali Palak Teri Gori,Do Chor,1972.0
Kaanchi Re Kaanchi Re,Hare Rama Hare Krishna,1971.0
Kaanha Kaanha Aan Padi Main Tere Dwaar,Shagird,1967.0
Kaanta Laga,Samadhi,1972.0
Kab Ke Bichhde Hue Hum,Laawaris,1981.0
Kabhi Kabhi Mere Dil Me (Male),Kabhi Kabhie,1976.0
Kabhi Kabhi Mere Dil Me (Female),Kabhi Kabhie,1976.0
Kabhi Khushi Kabhie Gham (Title Song),Kabhi Khushi Kabhie Gham,2001.0
Kabhi Kisi Ko Mukammal Jahaan Nahi Milta,Ahista Ahista,1981.0
Kabhii Tumhhe,Shershaah,2021.0
Kahaan Hai Wo Deewana,Loafer,1973.0
Kahin Aag Lage Lag Jaave,Taal,1999.0
Kahin Door Jab Din Dhal Jaaye,Anand,1971.0
Kahin Pe Nigaahen Kahin Pe Nishaana,C.I.D.,1956.0
Kaise Kahen Hum Pyar Ne Hum Ko,Sharmeelee,1971.0
Kaise Mizaaz Aap Ke Hain,Dil Hai Ke Manta Nahin,1991.0
Kaise Rahoon Chup,Intaqam,1969.0
Kajra Laga Ke,Apna Desh,1972.0
Kalle Kalle,Chandigarh Kare Aashiqui,2021.0
Kanhaiya Kanhaiya Tujhe Aana Padega,Maalik,1972.0
Kanhaiya Kis Ko Kahega Tu Maiyya,Chhoti Bahu,1971.0
Kankariya Maar Ke Jagaaya,Himalay Ki God Mein,1965.0
Kanta Laga,Non Filmy,2021.0
Kar Le Dil Ki Baat Aaj Mauka Hai,Pehchan,1970.0
Kariye Na,Taal,1999.0
Karvaten Badalte Rahe Saari Raat Hum,Aap Ki Kasam,1974.0
Kaun Aaya Ki Nigahon Me Chamak,Waqt,1965.0
Kay Sera Sera,Pukar,2000.0
Khair Mangde,Bell Bottom,2021.0
Khali Bali,Padmaavat,2018.0
Kheench Te Nach,Chandigarh Kare Aashiqui,2021.0
Khiladi Hai Koyi Anadi Hai Koyi,Seeta Aur Geeta,1972.0
Khilona Jaa Kar Tum To,Khilona,1970.0
Khilte Hai Gul Yahaan,Sharmeelee,1971.0
Khilte Hai Gul Yahaan (Male),Sharmeelee,1971.0
Khiza Ke Phool Pe Aati Kabhi,Do Raaste,1969.0
Kis Liye Maine Pyar Kiya,The Train,1970.0
Kisi Din Banugi Main Raja Ki Rani,Raja,1995.0
Kisi Ki Muskurahato Pe Ho Nisaar,Anari,1959.0
Kisi Patthar Ki Moorat Se,Hamraaz,1967.0
Kitna Maza Aa Raha Hai,Raja Jani,1972.0
Kitna Pyaara Hai Ye Chehra,Raaz,2002.0
Kitna Pyaara Waada Hai,Caravan,1971.0
Kitne Sapne Kitne Armaan Laaya Hoon Main,Mere Jeevan Saathi,1972.0
Kitni Baichain Ho Ke,Kasoor,2001.0
Koi Jab Tumhara Hriday Tod De,Purab Aur Paschim,1970.0
Koi Matwala Aaya Mere Dwaare,Love In Tokyo,1966.0
Koi Sahri Babu Dil Lahri Babu,Loafer,1973.0
Kora Kaagaz Tha Ye Man Mera,Aradhana,1969.0
Koyal Kyoon Gaaye,Aap Aaye Bahar Aayee,1971.0
Koyaliya Gaati Hai,Jungle Love,1990.0
Koyi Haseena Jab Rooth Jaati Hai To,Sholay,1975.0
Koyi Kahe Kahta Rahe,Dil Chahta Hai,2001.0
Koyi Ladki Mujhe Kal Raat Sapne Me Mili,Seeta Aur Geeta,1972.0
Koyi Mil Gaya,Kuch Kuch Hota Hai,1998.0
Koyi To Aayega,Antim: The Final Truth,2021.0
Kuch Kuch Hota Hai (Sad),Kuch Kuch Hota Hai,1998.0
Kuchhu Kuchh Hota Hai (Title Track),Kuch Kuch Hota Hai,1998.0
Kuchh Der Pahle Kuchh Bhi Na Tha,Pyar Ka Devta,1991.0
Kuchh Kehta Hai Ye Saawan,Mera Gaon Mera Desh,1971.0
Kuchh To Log Kahenge,Amar Prem,1972.0
Kusu Kusu,Satyameva Jayate 2,2021.0
Kya Khabar Kya Pata,Saaheb,1985.0
Kaya Khoob Lagti Ho,Dharmatma,1975.0
Kyoon Dikhe Mujhe Tu Sirhaane Mere,Bhoot-Part One: The Haunted Ship,2020.0
Purba Suhani Aayi Re,Purab Aur Paschim,1970.0
Laakhon Hain Nigaah Me,Phir Wohi Dil Laya Hoon,1963.0
Likh Kar Tera Naam Zameen Par,Laila Majnu,1976.0
Li Maine Kasam Li,Tere Mere Sapne,1971.0
Laaga Chunri Me Daag,Dil Hi To Hai,1963.0
Laal Chhadi Maidaan Khadi,Janwar,1965.0
Lachaari Ko Majboori Ko,Maqsad,1984.0
Ladki Badi Anjaani Hai,Kuch Kuch Hota Hai,1998.0
Ladki Chale Jab Sadkon Pe,Seema,1971.0
Laila Ne Kaha Jo Majnu Se,Jungle Love,1990.0
Lakdi Ki Kaathi Kaathi Pe Ghoda,Masoom,1983.0
Lakeeran,Haseen Dillruba,2021.0
Lambi Judaai,Hero,1983.0
Lamha Lamha Doori,Gangster,2006.0
Layee Hai Hazaron Rang Holi,Phool Aur Patthar,1966.0
Le Jaayenge Le Jaayenge,Chor Machaye Shor,1974.0
Le Kar Hum Deewana Dil,Yaadon Ki Baaraat,1973.0
Lehra Do,83,2021.0
Le Ke Pehla Pehla Pyar,C.I.D.,1956.0
Likhe Jo Khat Tujhe,Kanyadaan,1968.0
Lo Aa Gayi Un Ki Yaad,Do Badan,1966.0
Lo Aayi Hai Jawaani Roop Ke Naghmen Gaati,Pehchan,1970.0
Logon Na Maaro Ise,Anamika,1973.0
Looop Lapeta (Title Song),Looop Lapeta,2022.0
Loote Koyi Man Ka Nagar,Abhimaan,1973.0
Le Gayi Dil Gudiya Japan Ki,Love In Tokyo,1966.0
Lut Ja O Lut Ja,Ankhen,1968.0
Luv Ju,Bunty Aur Babli 2,2021.0
Le Lo Re Pee Lo Babu Nariyal Paani,Apna Desh,1972.0
Maa Sherawali,Satyameva Jayate 2,2021.0
Maafi,Chandigarh Kare Aashiqui,2021.0
Maana Teri Nazar Me,Ahista Ahista,1981.0
Maang Ke Saath Tumhaara,Naya Daur,1957.0
Maangi Thi Ek Dua Jo Kubool Ho Gayee,Shakti,1982.0
Maar Diya Jaaye Ke Chhod Diya Jaaye,Mera Gaon Mera Desh,1971.0
Maayen Ni Maayen Munder Pe Teri,Hum Aapke Hain Koun,1994.0
Main Adhura Tere Bagair,Beiimaan Love,2016.0
Main Agar Saamne Aa Bhi Jaaya Karoon,Raaz,2002.0
Main Bairaagi Nachoon Gaoon,Bairaag,1976.0
Main Benaam Ho Gaya,Benaam,1974.0
Main Cheez Badi Hoon Mast Mast,Mohra,1994.0
Main Ek Chor Tu Meri Rani,Raja Rani,1973.0
Main Gaoon Tum So Jao (Happy),Brahmachari,1968.0
Main Hoon Na Tere Saath,Saina,2021.0
Main Ik Raaja Hoon,Uphaar,1971.0
Main Jat Yamla Pagla Deewana,Pratigya,1975.0
Main Pal Do Pal Ka Shayar,Kabhi Kabhie,1976.0
Main Piya Teri Tu Maane Ya Na Maane,Basant Bahar,1956.0
Main Shayar To Nahin,Bobby,1973.0
Main Tere Ishq Me,Loafer,1973.0
Main Teri Ho Gayi,Sardar Ka Grandson,2021.0
Main To Chala Jidhar Chale Rasta,Dharkan,1972.0
Main To Ek Khwaab Hoon,Himalay Ki God Mein,1965.0
Main To Har Mod Par Tujh Ko Doonga Sada,Chetna,1970.0
Main To Har Mod Par (Sad),Chetna,1970.0
Main To Raste Ja Raha Tha,Coolie No. 1,1995.0
Main Tum Me Samaa Jaaoon,Raaste pyar Ke,1982.0
Maine Dekha Tune Dekha,Dushman,1971.0
Maine Kaha Na Na Na,Lalkar,1972.0
Maine Tere Liye Hi Saat Rang Ke,Anand,1971.0
Mainu Ishq Da Laya Rog,Dil Hai Ke Manta Nahin,1991.0
Maiy Se Meena Se Na Saaki Se,Khudgarz,1987.0
Maiyya Mainu,Jersey,2022.0
Makhna,Drive,2019.0
Man Dole Mera Tan Dole,Nagin,1954.0
Man Tarpat Hari Darshan Ko Aaj,Baiju Bawra,1952.0
Manbhawan Ke Ghar Jaaye Gori,Chori Chori,1956.0
Mann Bharryaa 2.0,Shershaah,2021.0
Mard Taangewala,Mard,1985.0
Marjaawaan,Bell Bottom,2021.0
Mast Pawan Dole Re,Bawarchi,1972.0
Matlabi Yaariyaan,The Girl On The Train,2021.0
Mauj-E-Karam,Hum Do Hamare Do,2021.0
Mauka Mauka,Helmet,2021.0
Mausam Hai Aashiqaana,Pakeezah,1972.0
Meet Na Mila Re Man Ka,Abhimaan,1973.0
Megha Chhaye Aadhi Raat,Sharmeelee,1971.0
Mehboob Ki Mehndi (Title Song),Mehboob Ki Mehndi,1971.0
Mehboob Mere,Fiza,2000.0
Mehboob Mere Tu Hai To Duniya,Patthar Ke Sanam,1967.0
Mehbooba Mehbooba,Sholay,1975.0
Mehndi Laga Ke Rakhna,Dilwale Dulhania Le Jayenge,1995.0
Mehram,Jersey,2022.0
Mera Dil Bhi Kitna Pagal Hai,Saajan,1991.0
Mera Jeewan Kora Kaagaz,Kora Kagaz,1974.0
Mera Joota Hai Japani,Shree 420,1955.0
Mere Mehboob Aayega,Jungle Love,1990.0
Mera Mehboob Hai Bemisal,Aaye Din Bahar Ke,1966.0
Mera Naam Raju Gharaana Aanaam,Jis Desh Men Ganga Behti Hai,1960.0
Mera Padhne Me Nahin Laage Dil,Kora Kagaz,1974.0
Mera Sasura Bada Paise Wala,Bidaai,1974.0
Mere Deewanepan Ki Bhi Dawa Nahin,Mehboob Ki Mehndi,1971.0
Mere Desh Ki Dharti,Upkar,1967.0
Mere Dost Kissa Ye Kya Ho Gaya,Dostana,1980.0
Mere Dushman Tu Meri Dosti,Aaye Din Bahar Ke,1966.0
Mere Ghar Aayi Ek Nanhi Pari,Kabhi Kabhie,1976.0
Mere Jeewan Saathi Pyar Kiye Ja,Ek Duuje Ke Liye,1981.0
Mere Khwaabon Me Jo Aaye,Dilwale Dulhania Le Jayenge,1995.0
Mere Liye Tum Kaafi Ho,Shubh Mangal Zyada Saavdhan,2020.0
Mere Mehboob Tujhe Meri Mohabbat,Mere Mehboob,1963.0
Mere Mitwa Mere Meet Re-Solo,Geet,1970.0
Mere Mitwa Mere Meet Re (Duet),Geet,1970.0
Mere Paash Aao To Mera Naam Jaayo,Yeh Gulistan Hamara,1972.0
Mere Peechhe Hindustan Hai,Beiimaan Love,2016.0
Mere Sapno Ki Raani Kab,Aradhana,1969.0
Mere Yaara,Sooryavanshi,2021.0
Meri Aankhon Me Bas Gaya Koyi Re,Barsaat,1949.0
Meri Bheegi Bheegi Si,Anamika,1973.0
Meri Jaan Kuchh Bhi Kijiye,Chhalia,1960.0
Meri Jaan Meri Jaan,Yahudi,1958.0
Meri Muhabbat Jawaan Rahegi,Janwar,1965.0
Meri Pant Bhi Sexi,Dulaara,1994.0
Meri Pyari Bahaniya Banegi Dulhaniya,Sachaa Jhutha,1970.0
Meri Tamannao Ki Takdeer Tum,Holi Ayee Re,1970.0
Meri Zindagi Hai Tu,Satyameva Jayate 2,2021.0
Meri Zindagi Me Aate,Kanyadaan,1968.0
Mil Gaye Mil Gaye Aaj Mere Sanam,Kanyadaan,1968.0
Milaa Yun,Haseen Dillruba,2021.0
Milo Na Tum To Hum Ghabraayen,Heer Ranjha,1970.0
Milo Na Tum To (Remake),Non Filmy,2020.0
Milti Hai Zindagi Me Mohabbat,Ankhen,1968.0
Mind Your Business,36 Farmhouse,2022.0
Mohabbat Ajnabee,Sayonee,2020.0
Mohabbat Kar Lo Jee Bhar Lo,Aar Paar,1954.0
Mohabbat Ke Suhaane Din,Maryada,1971.0
Mohabbat,36 Farmhouse,2022.0
Mohe Bhool Gaye Sanwariyaan,Baiju Bawra,1952.0
More Naina Bahaaye Neer,Bawarchi,1972.0
More Sainyaan Jee Utrenge Paar,Uran Khatola,1955.0
Morni Re Morni Main Jungle Ki Morni,Pratigya,1975.0
Motiyon Ki Ladi Hoon Main,Loafer,1973.0
Mujh Ko Thand Lag Rahi Hai,Main Sunder Hoon,1971.0
Mujh Se Bhala Ye Kaajal Tera,The Train,1970.0
Mujhe Aisi Mili Haseena,Janwar Aur Insaan,1972.0
Mujhe Kisi Se Pyar Ho Gaya,Barsaat,1949.0
Mujhe Kisi Se Pyar Ho Gaya,Barsaat,1949.0
Mujhe Kuchh Kehna Hai,Bobby,1973.0
Mujhe Mat Roko,Gangster,2006.0
Mujhe Mujh Se Kaun Bachayega,Bob Biswas,2021.0
Mujhe Pyaar Pyaar Hai,Bhoot Police,2021.0
Mujhe Tere Jaisi Ladki Mil Jaaye To,Raaz,2002.0
Mujhe Teri Mohabbat Ka,Aap Aaye Bahar Aayee,1971.0
Munna Badnam Hua Darling Tere Liye,Dabangg 3,2019.0
Muqabala Hum Se Na Karo,Prince,1969.0
Muqabala (Remake),Streed Dancer 3D,2020.0
Muthu Kodi Kawaari Hada,Do Phool,1974.0
My Heart Is Beating,Julie,1975.0
My Name Is Anthony Gonsalves,Amar Akbar Anthony,1977.0
Meri Jaan Maine kaha,The Train,1970.0
Mere Angne Me,Laawaris,1981.0
Mere Angne Me (Female),Laawaris,1981.0
Na Jiya Laage Na,Anand,1971.0
Na Chahoon Sona Chandi,Bobby,1973.0
Na Ja Na Ja,Non Filmy,2017.0
Na Jaane Kahaan Se Aayi Hai,ChaalBaaz,1989.0
Na Kajre Ki Dhaar,Mohra,1994.0
Na KoI Umang Hai,Kati Patang,1971.0
Na Muh Chhupa Ke Jiyo Aur Na Sar Jhuka Ke Jiyo,Hamraaz,1967.0
Na Na Karte Pyar Tumhi Se Kar Baithe,Jab Jab Phool Khile,1965.0
Naach Meri Bulbul Ke Paisa Milega,Roti,1974.0
Naach Meri Jaan Fata Fata Faat,Main Sunder Hoon,1971.0
Naache Ang Ve Chhale Rang Ve,Heer Ranjha,1970.0
Naacho Naacho,RRR,2022.0
Naah Goriye,Bala,2019.0
Nadi Naare Na Jao Shyam,Mujhe Jeene Do,1963.0
Nadiya Chale Chale Re Dhaara,Safar,1972.0
Nadiya Se Dariya,Namak Haraam,1973.0
Nafrat Karne Waalon Ke Seene Me Pyar Bhar Doon,Johny Mera Naam,1972.0
Nafrat Ki Duniya Ko Chhod Ke,Haathi Mere Saathi,1971.0
Nagri Nagri Dware Dware,Mother India,1957.0
Nahi Nahi Abhi Nahi Abhi Karo Intzaar,Jawani Diwani,1972.0
Nahin Saamne Tu,Taal,1999.0
Nain Baandhe Naino Se,Thalaivii,2021.0
Nain Mile Chain Kahaan,Basant Bahar,1956.0
Naina Ye Barse Milne Ko Tarse,Mohabbat,1985.0
Naino Me Badra Chhaye,Mera Saaya,1966.0
Naino Me Nindiya Hai,Joroo Ka Ghulam,1972.0
Naino Me Sapna Sapno Me Sajni,Himmatwala,1983.0
Naino Waali Ne Haye Mera Dil Loota,Mera Saaya,1966.0
Nainowale Ne,Padmaavat,2018.0
Najaa,Sooryavanshi,2021.0
Nanhe Munne Bachche Teri Mutthi Me Kya Hai,Boot Polish,1954.0
Nazar Me Bijli Ada Me Sholey,Prince,1969.0
Nazar Se Phool Chunti Hai Nazar Ahista Ahista,Ahista Ahists,1981.0
Nazaren Mili Dil Dhadka,Raja,1995.0
Neel Gagan Par Udte Baadal,Khandan,1965.0
Neela Aasmaan So Gaya (Female),Silsila,1981.0
Neela Aasmaan So Gaya (Male),Silsila,1981.0
Neele Gagan Ke Tale Dharti Ka Pyar Pale,Hamraaz,1967.0
Neend Churaaye Chain Churaaye Daaka Daale Teri Bansi,Anuraag,1972.0
Ni Main Samajh Gayi,Taal,1999.0
Nigaahen Milaane Ko Jee Chahta Hai,Dil Hi To Hai,1963.0
Nimbooda Nimbooda,Hum Dil De Chuke Sanam,1999.0
Nindiya Se Jaagi Bahaar,Hero,1983.0
Nirbal Se Ladaayi Balwaan Ki,Toofan Aur Deeya,1956.0
Na Tu Zameen Ke Liye Hai Na Aasmaan Ke Liye,Dastaan,1972.0
O Daiyya Re Daiyya Re Chadh Gayo Paapi Bichhua,Madhumati,1958.0
Le Ke Pahla Pahla Pyar,C.I.D.,1956.0
O Maa Sherowaali,Mard,1985.0
O Baabul Pyaare,Johny Mera Naam,1970.0
O Baby Donât Break My Heart,Mohabbat,1997.0
O Dilbar Jaaniya Roothne Manaane Me Na,Pyar Jhukta Nahi,1985.0
O Duniya Ke Rakhwaale Sun Dard Bhare Mere,Baiju Bawra,1952.0
O Ghata Saanwari Thodi Thodi Thodi Baanwari,Abhinetri,1970.0
O Hansini Kahaan Ud Chali,Zehreela Insaan,1974.0
O Manchali Kahaan Chali,Manchali,1973.0
O Mere Dil Chain,Mere Jeevan Saathi,1972.0
O Mere Raaja Khafa Na Hona,Johny Mera Naam,1970.0
O Mere Sapno Ke Saudagar,Dil Hai Ke Manta Nahin,1991.0
O Meri Jaan Bol Meri Jaan,Jaani Dushman,1979.0
O Meri Sharmilee,Sharmeelee,1971.0
O Meri Soni Meri Tamanna,Yaadon Ki Baaraat,1973.0
O Mitwa O Mitwa Ye Duniya To Kya Hai,Jal Bin Machhli Nritya Bin Bijli,1971.0
O Neele Parbaton Ki Dhaara,Aadmi Aur Insaan,1969.0
O Shankar Mere Kab Honge Darshan Tere,Bairaag,1976.0
O Tum Se Door Reh Ke,Adalat,1976.0
O Yaara Dil Lagaana,Agni Sakshi,1996.0
O Yaara Dil Lagana,Sanak,2021.0
Oh Re Taal Mile Nadi Ke Jal Me,Anokhi Raat,1968.0
Ole Ole 2.0,Jawaani Jaaneman,2020.0
Oo Bolega Ya Oo Oo Bolega,Pushpa: The Rise (Part-I),2021.0
Ooh La La,Shubh Mangal Zyada Saavdhan,2020.0
